,,,,,,,,,,,,,,,,,,,,
,Team,G,PW,PL,Posess,NET,ORtg,DRtg,PACE,FTr,ASTr,TOr,OREB%,DREB%,TS%,eFG%,FGARim,FGMRim,FGAMid,FGMMid
1,OKC,82,67,14,99.4,12.5,119.8,107.3,100.4,0.179,0.192,0.104,24.1,74.6,59.4,56.1,30.8,19.3,22.5,10.4
2,CLE,82,62,19,98.8,9.7,122.0,112.3,99.8,0.188,0.199,0.116,25.9,74.7,60.9,58.0,30.2,19.4,18.5,9.0
3,BOS,82,61,20,95.8,9.2,120.2,111.0,96.1,0.170,0.192,0.107,25.6,76.2,59.2,56.2,25.9,16.7,15.3,6.9
T4,HOU,82,52,29,98.0,4.9,115.3,110.4,98.7,0.180,0.165,0.119,31.7,76.2,55.3,52.3,35.0,20.4,21.7,9.0
T4,MIN,82,53,28,97.2,4.9,116.1,111.2,97.6,0.198,0.190,0.130,25.7,75.0,58.8,55.4,30.6,18.9,16.4,6.7
6,LAC,82,52,29,97.3,4.7,114.5,109.8,97.9,0.201,0.185,0.134,24.4,77.4,58.8,55.3,30.3,18.8,21.9,9.9
7,MEM,82,51,30,102.0,4.4,117.7,113.3,103.2,0.197,0.192,0.132,28.5,74.9,58.7,55.4,32.2,19.8,22.5,10.6
8,NYK,82,50,31,97.0,4.0,117.9,113.9,97.1,0.185,0.198,0.119,26.0,74.4,58.9,55.7,33.3,20.6,21.3,9.9
9,DEN,82,49,32,99.9,3.6,119.3,115.7,100.2,0.199,0.214,0.125,26.7,74.7,60.4,57.3,37.9,24.2,19.3,8.8
10,GSW,82,49,32,98.0,3.5,114.6,111.1,99.1,0.186,0.203,0.123,27.5,75.6,56.7,53.5,32.8,19.3,14.6,5.7
11,MIL,82,46,35,98.6,2.3,115.4,113.1,99.5,0.201,0.188,0.121,19.4,76.3,59.7,56.7,28.5,18.2,20.7,9.3
12,IND,82,46,35,99.5,2.2,116.4,114.2,100.1,0.191,0.208,0.118,21.3,74.5,59.5,56.4,30.8,19.8,21.8,10.2
13,DET,82,45,36,99.0,2.0,115.0,113.0,99.7,0.194,0.187,0.130,26.2,76.0,58.0,54.7,34.5,21.0,19.4,8.5
14,LAL,82,44,37,97.0,1.6,115.8,114.2,98.0,0.214,0.192,0.127,23.2,74.9,59.4,55.8,29.7,19.3,18.8,8.0
15,MIA,82,42,39,96.5,0.6,113.1,112.5,96.4,0.185,0.194,0.125,22.3,75.7,57.7,54.3,29.3,17.4,19.6,8.9
16,SAC,82,41,40,98.3,0.4,116.4,116.0,98.5,0.191,0.190,0.118,25.3,76.9,58.2,54.7,28.7,18.3,25.5,11.7
17,ORL,82,41,40,95.1,0.0,109.5,109.5,96.0,0.209,0.173,0.129,25.3,77.0,54.9,51.0,30.5,18.5,19.4,8.1
18,DAL,82,39,42,98.6,-0.8,114.6,115.4,99.5,0.203,0.184,0.125,23.4,73.2,58.4,55.1,30.6,19.3,22.2,9.9
19,ATL,82,37,44,102.2,-1.3,114.3,115.6,102.9,0.197,0.201,0.132,26.3,76.0,57.9,54.5,34.8,21.2,18.7,8.3
20,CHI,82,36,45,102.1,-1.7,113.9,115.6,103.0,0.174,0.201,0.127,22.2,76.5,58.6,55.4,33.7,20.5,15.5,6.9
21,PHX,82,33,48,97.4,-3.0,115.4,118.4,97.8,0.197,0.202,0.128,22.6,74.1,59.6,56.1,22.3,14.1,25.5,12.5
22,SAS,82,33,48,98.7,-3.1,113.9,117.0,99.6,0.179,0.203,0.123,24.3,73.0,57.5,54.4,32.3,19.9,17.3,7.4
23,POR,82,32,49,98.5,-3.3,111.3,114.6,99.2,0.188,0.170,0.138,29.0,72.5,55.5,52.1,36.1,21.1,15.7,6.2
24,TOR,82,30,51,99.6,-4.2,109.9,114.1,100.2,0.174,0.198,0.133,27.4,73.9,55.3,52.2,36.0,20.8,20.3,8.6
25,PHI,82,26,55,96.8,-6.2,111.9,118.1,97.4,0.201,0.173,0.123,23.5,71.8,56.4,52.8,32.5,19.2,17.1,7.5
26,BKN,82,23,58,95.6,-7.1,108.7,115.8,96.3,0.189,0.186,0.137,24.6,75.0,55.1,51.5,30.8,17.5,15.4,6.3
T27,CHA,82,19,62,97.0,-9.1,107.2,116.3,97.9,0.174,0.177,0.137,26.4,74.5,53.8,50.4,31.0,17.7,19.2,7.4
T27,UTA,82,20,61,99.7,-9.1,110.9,120.0,100.4,0.197,0.181,0.149,27.0,74.2,56.8,53.3,31.1,19.0,17.2,7.1
29,NOP,82,20,61,98.4,-9.3,110.3,119.6,99.3,0.183,0.185,0.129,26.4,72.7,55.3,52.0,32.8,19.1,21.8,9.1
30,WAS,82,14,67,100.1,-12.2,106.4,118.6,101.2,0.179,0.179,0.136,22.8,71.8,54.5,51.0,31.7,18.6,18.4,7.3