,Advanced Pitching Stats,,,,,,,,,,,,,,,,,,,,,,
Name,RA/G,G,IP,K/9,BB/9,K/BB,HR/9,BB%,K%,HR/FB,WHIP,AVG,OBP,SLG,ISO,BABIP,LOB%,FB,GB,GB/FB,ERA,FIP,E-F
New York Mets,3.22,55,489.0,9.06,3.72,2.44,0.64,9.8,23.9,8.9,1.25,.225,.308,.329,.104,.287,78.0,393,632,1.61,2.80,3.35,-0.55
Kansas City Royals,3.41,56,499.1,8.17,2.81,2.90,0.96,7.6,22.0,11.2,1.19,.235,.298,.371,.136,.281,78.2,473,622,1.32,3.17,3.66,-0.49
Minnesota Twins,3.43,54,473.1,9.13,2.47,3.69,0.89,6.6,24.5,9.3,1.16,.234,.293,.359,.125,.291,76.5,507,499,0.98,3.25,3.32,-0.07
Texas Rangers,3.48,56,487.1,7.98,2.96,2.70,0.91,8.0,21.6,10.5,1.16,.225,.292,.352,.127,.267,75.4,467,586,1.25,3.25,3.68,-0.43
Houston Astros,3.54,54,474.1,9.51,3.15,3.02,0.97,8.5,25.6,11.3,1.15,.217,.289,.358,.141,.271,75.6,453,491,1.08,3.38,3.50,-0.12
New York Yankees,3.56,54,478.0,9.79,3.50,2.80,0.87,9.4,26.3,11.8,1.15,.208,.286,.333,.125,.265,74.5,389,556,1.43,3.31,3.38,-0.07
Detroit Tigers,3.59,56,499.0,8.78,2.87,3.06,0.99,7.7,23.7,11.5,1.15,.224,.293,.357,.133,.271,76.3,477,608,1.27,3.23,3.66,-0.43
San Francisco Giants,3.62,55,484.0,8.68,2.99,2.90,0.76,8.0,23.3,10.4,1.20,.234,.300,.357,.123,.291,73.9,393,641,1.63,3.25,3.33,-0.08
Tampa Bay Rays,3.81,54,483.2,7.69,2.83,2.72,1.36,7.7,20.9,15.8,1.19,.236,.301,.398,.162,.265,78.9,463,613,1.32,3.65,4.39,-0.74
San Diego Padres,3.87,53,470.0,8.89,3.29,2.70,1.03,8.8,23.7,11.2,1.20,.224,.298,.363,.139,.271,74.4,484,513,1.06,3.54,3.80,-0.26
Atlanta Braves,3.91,53,468.0,8.62,3.37,2.56,1.15,9.0,22.9,15.2,1.24,.233,.309,.396,.163,.278,76.2,396,576,1.45,3.71,4.07,-0.36
St. Louis Cardinals,4.00,55,487.2,7.24,2.83,2.56,0.78,7.5,19.3,9.4,1.22,.240,.302,.369,.129,.281,70.9,449,676,1.51,3.71,3.63,0.09
Philadelphia Phillies,4.04,54,485.2,9.85,2.95,3.34,0.96,7.8,26.0,12.4,1.25,.243,.307,.384,.141,.311,73.7,418,576,1.38,3.65,3.35,0.30
Cincinnati Reds,4.09,56,497.0,8.15,3.02,2.69,1.18,8.0,21.7,11.8,1.19,.229,.298,.390,.161,.266,73.7,551,534,0.97,3.78,4.09,-0.31
Seattle Mariners,4.15,53,479.2,7.98,3.02,2.64,0.98,7.9,20.8,11.3,1.31,.254,.317,.391,.137,.300,74.3,461,619,1.34,3.64,3.82,-0.17
Chicago Cubs,4.25,55,493.2,7.99,3.08,2.59,1.15,8.1,21.0,12.2,1.29,.248,.315,.402,.154,.290,74.2,517,580,1.12,3.96,4.09,-0.13
Milwaukee Brewers,4.29,56,494.1,8.27,3.79,2.18,1.07,9.8,21.4,11.3,1.34,.244,.324,.389,.145,.289,73.8,524,534,1.02,4.01,4.16,-0.15
AVG,4.31,54,483.0,8.37,3.31,2.53,1.08,8.7,21.9,12.4,1.29,.244,.315,.394,.150,.289,72.7,467,589,1.26,4.00,3.99,0.01
Pittsburgh Pirates,4.32,56,498.0,7.45,3.25,2.29,0.83,8.6,19.6,10.4,1.27,.243,.314,.384,.141,.285,70.1,443,642,1.45,4.05,3.84,0.21
Toronto Blue Jays,4.35,54,481.2,9.01,2.88,3.13,1.42,7.7,24.0,15.9,1.21,.237,.303,.412,.175,.279,74.3,478,523,1.09,4.08,4.22,-0.14
Chicago White Sox,4.36,55,472.2,7.45,3.91,1.91,1.11,9.9,18.9,11.1,1.38,.247,.333,.409,.162,.282,73.7,522,571,1.09,4.12,4.53,-0.42
Cleveland Guardians,4.37,54,475.2,8.81,3.84,2.29,1.14,9.9,22.6,12.1,1.40,.255,.333,.411,.156,.309,74.5,494,516,1.04,4.13,4.12,0.01
Los Angeles Dodgers,4.40,55,491.0,9.29,3.46,2.68,1.25,9.1,24.5,15.6,1.27,.236,.312,.403,.167,.287,73.3,435,580,1.33,4.03,4.07,-0.03
Boston Red Sox,4.51,57,512.0,8.37,3.27,2.56,0.93,8.5,21.7,11.9,1.34,.256,.326,.378,.122,.309,71.3,444,667,1.50,4.01,3.79,0.22
Arizona Diamondbacks,5.00,55,489.2,8.59,3.37,2.55,1.31,8.7,22.2,16.1,1.32,.247,.319,.427,.180,.290,69.2,440,605,1.38,4.65,4.30,0.35
Los Angeles Angels,5.17,54,474.0,7.48,4.20,1.78,1.39,10.6,18.8,14.6,1.51,.271,.351,.433,.162,.305,72.0,501,629,1.26,4.92,4.91,0.01
Washington Nationals,5.22,54,473.0,8.32,3.62,2.30,1.05,9.1,21.0,12.3,1.42,.263,.341,.415,.152,.314,67.5,446,604,1.35,5.14,4.16,0.98
Miami Marlins,5.60,53,471.0,8.08,3.90,2.07,1.26,9.8,20.3,14.0,1.45,.262,.339,.431,.169,.304,66.5,470,593,1.26,5.24,4.51,0.73
Baltimore Orioles,5.63,54,471.1,7.85,3.55,2.21,1.64,8.9,19.8,17.3,1.47,.274,.343,.481,.207,.307,69.0,498,617,1.24,5.48,4.99,0.49
Sacramento Athletics,5.80,55,491.1,8.27,3.90,2.12,1.45,9.7,20.5,13.8,1.49,.268,.345,.457,.189,.307,67.9,571,552,0.97,5.41,4.79,0.61
Colorado Rockies,6.36,55,478.1,6.83,3.67,1.86,1.22,9.0,16.7,13.8,1.60,.297,.362,.468,.171,.333,62.6,470,716,1.52,5.61,4.63,0.98
Lg Total,4.31,1640,"14,517.2",8.39,3.31,2.53,1.09,8.7,21.9,12.5,1.29,.244,.315,.394,.150,.290,72.8,14027,17671,1.26,4.00,-,-